2018-12-28 13:49:18 --> VendorID: 1 || passenger_count: 3 || trip_distance: 6.5 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 237 || DOLocationID: 261 || payment_type: 4 || fare_amount: 24.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 25.3 || DOdatetime: 2018-12-28 14:14:51 || trip_duration: 25 ||
2018-05-05 09:47:42 --> VendorID: 1 || passenger_count: 1 || trip_distance: 2.9 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 236 || DOLocationID: 186 || payment_type: 2 || fare_amount: 15.0 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 15.8 || DOdatetime: 2018-05-05 10:08:24 || trip_duration: 20 ||
2018-03-20 17:30:35 --> VendorID: 2 || passenger_count: 2 || trip_distance: 13.25 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 132 || DOLocationID: 217 || payment_type: 2 || fare_amount: 50.5 || extra: 1.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 52.3 || DOdatetime: 2018-03-20 18:39:53 || trip_duration: 69 ||
2018-06-10 12:23:39 --> VendorID: 2 || passenger_count: 5 || trip_distance: 5.78 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 211 || DOLocationID: 43 || payment_type: 1 || fare_amount: 26.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 5.46 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 32.76 || DOdatetime: 2018-06-10 12:59:59 || trip_duration: 36 ||
2018-12-12 15:53:44 --> VendorID: 2 || passenger_count: 1 || trip_distance: 0.87 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 141 || DOLocationID: 141 || payment_type: 1 || fare_amount: 6.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 1.46 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 8.76 || DOdatetime: 2018-12-12 16:01:01 || trip_duration: 7 ||
2018-01-11 17:40:47 --> VendorID: 2 || passenger_count: 2 || trip_distance: 1.59 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 163 || DOLocationID: 233 || payment_type: 2 || fare_amount: 9.5 || extra: 1.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 11.3 || DOdatetime: 2018-01-11 17:54:17 || trip_duration: 13 ||
2018-08-22 12:15:14 --> VendorID: 1 || passenger_count: 1 || trip_distance: 2.0 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 162 || DOLocationID: 143 || payment_type: 1 || fare_amount: 11.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 1.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 13.3 || DOdatetime: 2018-08-22 12:30:39 || trip_duration: 15 ||
2018-11-18 16:36:06 --> VendorID: 1 || passenger_count: 1 || trip_distance: 0.8 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 237 || DOLocationID: 237 || payment_type: 2 || fare_amount: 5.0 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 5.8 || DOdatetime: 2018-11-18 16:40:49 || trip_duration: 4 ||
2018-03-02 20:22:29 --> VendorID: 1 || passenger_count: 1 || trip_distance: 2.3 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 107 || DOLocationID: 237 || payment_type: 1 || fare_amount: 11.5 || extra: 0.5 || mta_tax: 0.5 || tip_amount: 2.55 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 15.35 || DOdatetime: 2018-03-02 20:37:49 || trip_duration: 15 ||
2018-05-27 18:11:25 --> VendorID: 2 || passenger_count: 1 || trip_distance: 2.02 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 229 || DOLocationID: 107 || payment_type: 1 || fare_amount: 8.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 1.86 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 11.16 || DOdatetime: 2018-05-27 18:19:49 || trip_duration: 8 ||
